"Table C19: Community Safety Partnerships: Crime rate per 1,000 population for categories of anti-social behaviour, year ending March 2025 [note 1][note 4][note 5][note 6]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,age_band,flag_depression,flag_anxiety,flag_comorbid
E23000031,Surrey,E22000286,Surrey Heath,E07000214,Surrey Heath,91200,10.861821410173503,1.8852000832995386,7.211986365180793,1.7646349616931727,unknown,0,0,0
E23000031,Surrey,E22000287,Tandridge,E07000215,Tandridge,88700,10.66432186862367,2.1193366927074524,6.831478913727214,1.7135062621890043,unknown,0,0,0
E23000031,Surrey,,Unassigned Surrey,,,[x],[x],[x],[x],[x],unknown,0,0,0
E23000031,Surrey,E22000288,Waverley,E07000216,Waverley,130100,7.788533249271507,1.4531419389065299,4.720789156024388,1.6146021543405888,unknown,0,0,0
E23000031,Surrey,E22000289,Woking,E07000217,Woking,104200,11.441845285518195,1.7085977020320795,7.10315898597606,2.630088597510055,unknown,0,0,0
E23000033,Sussex,,,,,1721000,13.934170472062805,0.6623974954402067,11.796485923181647,1.4752870534409517,unknown,0,0,0
E23000033,Sussex,E22000290,Adur,E07000223,Adur,64700,12.939030422953254,0.5565174375463765,11.300395745733367,1.08211723967351,unknown,0,0,0
E23000033,Sussex,E22000291,Arun,E07000224,Arun,166400,13.073584746883377,1.0398759361888847,10.675258165730979,1.3584506449635143,unknown,0,0,0
E23000033,Sussex,E22000292,Brighton and Hove,E06000043,Brighton and Hove,278000,19.300991131977046,0.9029913838073138,16.505675174932097,1.892324573237638,unknown,0,0,0
E23000033,Sussex,E22000293,Chichester,E07000225,Chichester,126100,13.6158537068904,0.8009325709935529,11.569907139401918,1.2450139964949287,unknown,0,0,0
E23000033,Sussex,E22000294,Crawley,E07000226,Crawley,119500,17.23719552502322,0.652670510170782,15.069994728430494,1.514530286421943,unknown,0,0,0
E23000033,Sussex,E22000295,Eastbourne,E07000061,Eastbourne,102200,19.159486341897562,0.7041771396715796,16.46992087787417,1.9853883243518147,unknown,0,0,0
E23000033,Sussex,E22000296,Hastings,E07000062,Hastings,90600,18.196464434684735,0.8165787557105338,15.117741828695019,2.2621438502791817,unknown,0,0,0
E23000033,Sussex,E22000297,Horsham,E07000227,Horsham,148700,9.220153870985097,0.5111099155323613,7.720449776725668,0.9885941787270675,unknown,0,0,0
E23000033,Sussex,E22000298,Lewes,E07000063,Lewes,100700,11.233946184332073,0.39731020987911836,9.604974323827687,1.231661650625267,unknown,0,0,0
E23000033,Sussex,E22000299,Mid Sussex,E07000228,Mid Sussex,154900,9.739882527593107,0.38727167107726074,8.261795649648228,1.0908152068676176,unknown,0,0,0
E23000033,Sussex,E22000300,Rother,E07000064,Rother,94200,11.8837747711391,0.5309997663601027,9.738535715044286,1.6142392897347124,unknown,0,0,0
E23000033,Sussex,,Unassigned Sussex,,,[x],[x],[x],[x],[x],unknown,0,0,0
E23000033,Sussex,E22000301,Wealden,E07000065,Wealden,163000,8.649669962947513,0.3435329914362133,6.981081147400191,1.3250558241111086,unknown,0,0,0
E23000033,Sussex,E22000302,Worthing,E07000229,Worthing,112000,13.68212487951162,0.5622791046374639,11.798936132233765,1.3209096426403912,unknown,0,0,0
E23000029,Thames Valley,,,,,2549700,7.607657153794141,0.6436132076803724,5.78506691851645,1.1789770275973186,unknown,0,0,0
E23000029,Thames Valley,E22000303,Aylesbury Vale,E06000060,Aylesbury Vale,208100,5.598243160772895,0.5237841240551463,3.9644211224357404,1.1100379142820072,unknown,0,0,0
