"Table A6: Percentage of CSEW headline crime incidents reported to the police or Action Fraud, statistical significance of change year ending March 2025 compared with selected years [note 1, 2]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,age_band,flag_depression,flag_anxiety,flag_comorbid
With loss,73.11114986849917,84.83577729606988,74.44270240935748,71.95206940361388,72.29175807904407,77.48045895126829,69.62900265659212,70.11434104865955,67.67389264859445,71.90010835928436,69.40428512040239,69.62495962354595,70.54664691922784,69.53019715951181,70.60537961973176,73.22753892318504,76.11199247058967,70.37805060710417,70.15920746422532,70.83703845125775,70.69864619782071,73.79993431360245,68.27888249034366,63.34022834821401,64.07953241613401,69.29819600616824,143,,unknown,0,0,0
No loss,75.50831795211884,70.50352080372862,60.90548906355868,59.02926949605186,52.06092935865865,60.06535398859872,57.417962215674365,59.024499342090266,60.1054274836457,58.94674161117097,60.61096703168277,57.56447320743323,60.92119632617471,67.74357281264885,61.42764354294754,64.4732154530853,56.79891427523066,63.66303462032388,67.9828744361691,65.75616888868593,60.16700458322535,59.06278698745746,57.02371948122856,71.68506945901005,67.83391899006433,50.987919706645,89,,unknown,0,0,0
Attempts,49.70306630849509,50.591754770623524,43.58845384779313,47.33884131728722,40.966544432508506,41.11369863733449,45.16134299839125,40.417631883279675,45.47885001984605,47.84681186321861,47.95876669646656,47.236239826705976,50.72328429584251,50.28126167320234,51.69874748203808,56.6122437162544,46.80753695337961,54.06400556086507,48.648295978509424,50.120694167418925,46.813637825746376,47.80357982986491,50.42853282898686,42.395474829743335,47.789594337246015,43.94000956112977,189,[s],unknown,0,0,0
Domestic burglary in a dwelling,71.53891324500468,75.54382207037555,66.07244953568136,64.16545342132606,61.30883024485749,65.29617014427842,61.94299209018298,60.78873902153718,65.15843612271303,65.93392154187532,64.85441557471,65.94225479328979,67.61531088227109,69.10185883317973,66.76381371746135,70.95062405939659,66.10853569979876,65.32528332461199,66.60478245732298,68.31110161917343,63.64995830573735,64.31749030541549,64.12641496864356,55.14257312919001,65.34415529485155,60.50523132279872,306,,unknown,0,0,0
With entry,83.87765311843471,89.74414441821533,81.86588958232899,79.13907128120307,77.08565101248247,82.18518850897058,74.74392857304497,72.14095586941227,76.69734829314808,76.75273228593237,74.8738006861869,76.69909548935598,78.14457139054188,78.74728127281801,74.68130244554555,79.80475552108776,78.2312702680303,73.77217104320472,79.4161398630178,78.86218402990936,75.92448309204701,74.59842263977426,74.65790529276815,69.81006953395993,75.43360501263172,74.84855286943815,144,,unknown,0,0,0
With loss,84.80667998381232,93.45036790731702,84.18379572724254,84.11732015687853,84.87425273931115,87.0932385446758,78.43503734044968,76.69810268223138,81.34113156828072,80.76025339679076,78.97820659695245,83.34398382950134,84.6282743366143,82.3270279146089,80.5767194521516,84.6887475648028,88.93699932417384,78.09713574743986,81.68436948673137,80.3018996884482,81.53780625094213,81.88321084407715,81.02842071850661,68.25188731281176,79.61661455560815,78.37019010919657,91,,unknown,0,0,0
No loss,80.4369747955056,71.94099366823721,73.45252942930223,62.42459357120502,57.42542580834179,68.92728000295692,61.89974293337768,61.575718135929094,65.17396142651394,65.84102075478924,64.00571632532413,61.134019670613796,63.13373576735043,71.77569439744211,61.63669107993559,68.29787069851885,59.95869227785593,65.37410575228233,75.49883732531156,76.75834705858871,65.9748121401513,61.45511264281775,62.96559278846651,72.41888118481688,71.34597071264808,68.12904498656484,53,,unknown,0,0,0
Attempts,50.343727002259754,51.33954222101792,45.157773428337215,47.38459614738817,40.99358918215797,42.63331063450047,45.35508888953849,42.277600975464736,47.76724119760025,50.69204964588139,50.39010526658336,49.21139168210974,52.206896052017036,54.23669082874779,55.03724078505731,58.81914334137932,48.198028946412705,54.413970631787436,51.850096393538,52.70192308705397,46.35962851232956,50.34441473766702,51.928752708074946,42.33384909228681,54.85290205886436,48.08611310187433,162,,unknown,0,0,0
Domestic burglary in a non-connected building to a dwelling,50.129751108220375,59.528210861705844,49.38121290468911,51.391349968223565,50.45975889567406,54.37116059153584,51.465126501291515,53.37454528600883,44.26424374201358,50.51270162528378,47.52713128718456,44.40819773799414,48.17314368912237,46.20613000500507,48.66387994102696,51.803297602923905,48.987646958926476,57.17903143101897,48.82787653047983,48.35609462060312,49.06474349897528,52.44920213621644,41.70802277618939,53.536777272793245,36.623266843044775,37.73612767200029,115,[s],unknown,0,0,0
With entry,50.94632323313352,62.314381068609215,52.575365724025204,52.401849627266884,52.47500902175748,58.32424625632563,53.24924084283293,58.124335721591024,46.61739751806284,54.70763713643716,50.96676483888618,46.23284531418549,49.32896294085813,49.979356777817635,52.96840989068392,53.37974928479806,51.58634696636882,58.6265949161466,53.39187833909654,51.125964485781104,49.12897534153128,57.61938379259735,42.90225836308532,59.23051168063617,45.251140510588314,43.13980739793518,88,[s],unknown,0,0,0
With loss,52.242914903193025,62.23502636759491,56.51017096502275,53.118617682788916,55.45799514619302,62.79626664031612,54.390920625019525,59.64049924011322,45.73627696973237,57.70464350126752,50.966314552792035,46.16279214274959,48.14218135750444,48.37827830210122,50.9954997748449,53.83456060437667,52.97816028705577,58.78217401315789,55.361540584789516,56.84277258708905,51.83744510186098,59.50807079701954,44.329521192779275,54.18030280903644,42.02845906077437,52.52873775903713,52,,unknown,0,0,0
