Offence group,"Apr 2009 to Mar 2010 
[note 6]","Apr 2010 to Mar 2011 
[note 6]",Apr 2011 to Mar 2012,"Apr 2012 to Mar 2013 
[note 7]",Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2022 to Mar 2023,Apr 2023 to Mar 2024,Apr 2023 to Mar 2025,,Offence group,Apr 2009 to Mar 2010,Apr 2009 to Mar 2010 Significance,Apr 2010 to Mar 2011,Apr 2010 to Mar 2011 Significance,Apr 2011 to Mar 2012,Apr 2011 to Mar 2012 Significance,Apr 2012 to Mar 2013,Apr 2012 to Mar 2013 Significance,Apr 2013 to Mar 2014,Apr 2013 to Mar 2014 Significance,Apr 2014 to Mar 2015,Apr 2014 to Mar 2015 Significance,Apr 2015 to Mar 2016,Apr 2015 to Mar 2016 Significance,Apr 2016 to Mar 2017,Apr 2016 to Mar 2017 Significance,Apr 2017 to Mar 2018,Apr 2017 to Mar 2018 Significance,Apr 2018 to Mar 2019,Apr 2018 to Mar 2019 Significance,Apr 2019 to Mar 2020,Apr 2019 to Mar 2020 Significance,Apr 2022 to Mar 2023,Apr 2022 to Mar 2023 Significance,Apr 2023 to Mar 2024,Apr 2023 to Mar 2024 Significance,unknown
ROBBERY [note 10],1.612133200179145,1.0341997314324722,1.334828064018817,1.0753083132814105,0.7622969833692652,0.8310599137138678,0.8094832588727319,0.6149971315643763,0.7413980923003085,0.4228461541325679,0.4348554102203432,0.8820978007991036,0.32962110417472273,0.17486537345348926,,ROBBERY [note 10],-1.4372678267256558,[s],-0.8593343579789829,[s],-1.1599626905653277,[s],-0.9004429398279212,[s],-0.5874316099157759,[s],-0.6561945402603785,[s],-0.6346178854192426,[s],-0.440131758110887,[s],-0.5665327188468192,[s],-0.2479807806790786,,-0.25999003676685395,,-0.7072324273456143,[s],-0.15475573072123347,,unknown
PERSONAL THEFT,8.520693013039098,6.258949591031789,9.0184223481655,7.381674597233279,7.028394853696654,6.826231361844849,7.111606068496797,6.264215941089095,6.138650736125493,5.480564409279449,4.159652146391244,5.160017064525637,5.434393702636203,6.512183479698677,,PERSONAL THEFT,-2.0085095333404217,[s],0.25323388866688745,,-2.5062388684668226,[s],-0.8694911175346025,,-0.5162113739979777,,-0.3140478821461725,,-0.5994225887981202,,0.24796753860958187,,0.37353274357318345,,1.0316190704192278,,2.3525313333074322,[s],1.3521664151730395,,1.077789777062474,,unknown
Theft from the person,0.9531017795779129,0.7337791794836084,1.2481399855711737,1.055312270595011,0.8176677743123678,1.222051952012151,1.259086310510929,0.9443388652790077,0.8487191073886429,0.6535405725198846,0.5960482459471685,0.7604087445395213,1.069466502196976,1.122128116407338,,Theft from the person,0.16902633682942514,,0.3883489369237296,,-0.12601186916383567,,0.06681584581232691,,0.3044603420949702,,-0.0999238356048131,,-0.1369581941035909,,0.17778925112833033,,0.27340900901869514,,0.4685875438874534,,0.5260798704601695,,0.36171937186781666,,0.05266161421036197,,unknown
Snatch theft from person,0.326944507065615,0.38849301755165044,0.5882697003796181,0.28688250038946617,0.5387957091407152,0.42584602008409395,0.41417036266392165,0.5520471932195156,0.33296479693229847,0.20868507213755755,0.4225308041810285,0.6626242584926816,0.38483232983841553,0.5154254310768794,,Snatch theft from person,0.18848092401126443,,0.126932413525229,,-0.07284426930273868,,0.22854293068741327,,-0.023370278063835737,,0.08957941099278549,,0.10125506841295778,,-0.03662176214263613,,0.18246063414458097,,0.3067403589393219,,0.09289462689585093,,-0.14719882741580215,,0.1305931012384639,,unknown
Stealth theft from person,0.635723582444646,0.34528616193195777,0.7055649514172362,0.768429770205545,0.29164125748057246,0.7962059319280577,0.8449159478470075,0.3922916720594921,0.5157543104563445,0.44485550038232713,0.17351744176614006,0.12807218378780008,0.7672392430697916,0.6152217261778968,,Stealth theft from person,-0.020501856266749163,,0.26993556424593906,,-0.09034322523933935,,-0.1532080440276482,,0.3235804686973244,,-0.18098420575016083,,-0.2296942216691107,,0.22293005411840472,,0.09946741572155238,,0.1703662257955697,,0.4417042844117568,,0.4871495423900968,,-0.1520175168918948,,unknown
Other theft of personal property,5.053413809398037,3.455725638697742,5.853323657062663,5.322987502465097,5.211255522472408,4.66815232713582,5.234149710621516,4.333587253227631,4.607951702469713,3.392663453482045,3.255743685669289,3.9635246524806265,3.762036832098799,5.237095322064477,,Other theft of personal property,0.18368151266643995,,1.7813696833667354,[s],-0.6162283349981861,,-0.08589218040062008,,0.02583979959206939,,0.5689429949286575,,0.002945611442961571,,0.903508068836846,,0.629143619594764,,1.8444318685824324,[s],1.9813516363951882,[s],1.273570669583851,,1.4750584899656785,,unknown
Theft of personal property (unspecified) [note 11],0.5071682375734304,0.39109190011887474,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,Theft of personal property (unspecified) [note 11],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],0, ,[x],[x],[x],[x],unknown
Theft from the dwelling/outside the dwelling [note 8],0.4993635417596736,0.6264517742778511,0.7514955866118052,0.48682929926809426,0.40804653376336325,0.6056673288995587,0.38660201371595,0.382894250402309,0.482767258399062,0.5031568392906304,0.2080744387527637,0.4217257555474425,0.5243429552107786,0.12827846344944852,,Theft from the dwelling/outside the dwelling [note 8],-0.3710850783102251,[s],-0.49817331082840266,[s],-0.6232171231623567,[s],-0.3585508358186458,[s],-0.2797680703139147,,-0.47738886545011017,[s],-0.25832355026650144,,-0.25461578695286047,,-0.3544887949496135,[s],-0.3748783758411819,[s],-0.0797959753033152,,-0.29344729209799403,,-0.3960644917613301,,unknown
"CRIMINAL DAMAGE TO PERSONAL PROPERTY [note 8, 12]",2.209972215592393,1.5164631160293387,0.9845075248424013,0.9702955592769806,1.383414401945379,1.760699183704581,2.070284015322232,1.1540460008932512,1.4499409471056748,1.727386318756078,1.2162956567499816,0.6856185222863694,0.8045895101530407,1.1149412615074317,,"CRIMINAL DAMAGE TO PERSONAL PROPERTY [notes 8, 12]",-1.0950309540849612,[s],-0.40152185452190703,,0.13043373666503033,,0.14464570223045103,,-0.26847314043794723,,-0.6457579221971492,,-0.9553427538148003,,-0.03910473938581949,,-0.3349996855982431,,-0.6124450572486464,,-0.10135439524254997,,0.42932273922106223,,0.31035175135439097,,unknown
ALL CSEW CRIMES EXPERIENCED BY CHILDREN AGED 10 TO 15,24.515665042032467,17.27247520554951,20.192556435170626,17.63528242322306,16.470763265816693,17.246630924839888,18.54469909628703,15.960216818584003,15.615220017623018,15.870540408813829,11.383150601708152,12.58444829025362,12.544707154480658,13.975433089032167,,ALL CSEW CRIMES EXPERIENCED BY CHILDREN AGED 10 TO 15,-10.5402319530003,[s],-3.2970421165173445,[s],-6.217123346138459,[s],-3.659849334190893,[s],-2.4953301767845257,,-3.2711978358077207,[s],-4.569266007254862,[s],-1.984783729551836,,-1.6397869285908513,,-1.895107319781662,,2.592282487324015,,1.3909847987785469,,1.4307259345515089,,unknown
