"table s5: perceptions of the local police, by personal characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8
England and Wales,,,,,,,,Adults aged 16 and over
Personal characteristic1,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted base - number of adults2
,Percentage saying they 'strongly agree' or 'tend to agree',,,,,,,
3 hours or more but less than 7 hours,57.44051410204721,87.07509524323962,65.8633650441574,65.89748897489515,53.13511212766642,80.00877448808498,73.80221792357258,8958
7 hours or longer,59.6549341764268,86.92025275412331,67.19344475731798,65.97164765236474,51.81196788506378,80.41932169871752,74.21392012354198,13749
Visits to pub/wine bar in the evening last month,,,,,,,,
,59.22925052456212,86.46235405549338,67.24024978306585,66.4967216990728,54.715524428870346,79.44148471364475,73.54650833589957,17899
Less than once a week,58.67357676933966,88.56209688194838,67.96282136978121,66.16357274065062,52.02948678741922,81.60168909783802,75.5123281509674,9826
Once a week or more often,55.610644948236455,87.0439059147943,63.129373371650445,64.76699015696921,49.52807005651614,80.4502802680902,73.68045479935616,5622
Visits to nightclub/disco last month,,,,,,,,
,57.775588573261174,87.26186294860334,67.07454222620613,66.11189247703521,52.90426986448783,80.32384625584011,74.1890527197813,31730
1-3 times,66.84633294206547,86.03392728890225,62.342161922272524,65.46386774939596,53.706109251774045,79.34889936623891,73.68529191366103,1424
4+ times,67.83723802658704,87.8454248796033,59.413005811442495,66.06803546298762,54.178415739126564,79.97038813781889,73.47269736643125,201
Overall level of perceived ASB5,,,,,,,,
High,47.02828337353606,82.14013669622757,56.9135064484759,54.94484624036219,35.93534718005697,69.44182125656629,60.06400756635835,575
Not high,60.61780557153003,88.5990519604899,66.44693245140172,67.52214208557875,54.968741737854224,81.70748064255146,76.42035678553991,7858
Experience of crime in last 12 months (including fraud and computer misuse),,,,,,,,
Victim,53.30275450950288,84.3654744110078,60.68666621753955,60.758385692947435,46.04678385023057,74.65582698373639,66.87608222738443,6061
Not a victim,59.641535167489565,87.87826378759225,68.1720401869509,67.34343567915137,54.63934336515468,81.60710683415098,75.90114509218755,27302
Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,
1. See Section 7.3 of the User Guide for definitions of personal characteristics.,,,,,,,,
2. Unweighted base refers to overall confidence in the local police. Other bases will be similar.,,,,,,,,
"3. The definition of disability used is consistent with the core definition of disability under the Equality Act 2010. A person is considered to have a disability if they have a long-standing illness, disability or impairment which causes difficulty with day-to-day activities.",,,,,,,,
"4. The terminology used to label this data has been changed to 'sexual orientation' from 'sexual identity' to align with terminology used in legislation (Equality Act 2010). Sexual Orientation is an umbrella concept which encompasses sexual identity, attraction and behaviour. This question described within this principle is based on a substantial body of research and is designed to capture self-perceived Sexual Identity. An individual could respond differently to questions on either sexual identity, attraction or behaviour. The measurement of Sexual Identity was identified within the research as the component of Sexual Orientation most closely related to experiences of disadvantage and discrimination. The question was not designed for specific or detailed studies of sexual behaviour or attraction where a series of more detailed questions and answer categories might be more appropriate.",,,,,,,,
5. The relevant questions relating to overall level of perceived anti-social behaviour are only asked of one quarter of the CSEW sample.,,,,,,,,
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,,
